transactionID,reference,amount,description
TXN-100001,REF-100001,200,System Record (Clean Data)
TXN-100002,REF-100002,2500,System Record (Clean Data)
TXN-100003,REF-100003,1000,System Record (Clean Data)
TXN-100004,REF-100004,10000,System Record (Clean Data)
TXN-100005,REF-100005,5000,System Record (Clean Data)
TXN-100006,REF-100006,500,System Record (Clean Data)
TXN-100007,REF-100007,1000,System Record (Clean Data)
TXN-100008,REF-100008,1000,System Record (Clean Data)
TXN-100009,REF-100009,10000,System Record (Clean Data)
TXN-100010,REF-100010,100,System Record (Clean Data)
TXN-100011,REF-100011,2500,System Record (Clean Data)
TXN-100012,REF-100012,2500,System Record (Clean Data)
TXN-100013,REF-100013,200,System Record (Clean Data)
TXN-100014,REF-100014,200,System Record (Clean Data)
TXN-100015,REF-100015,10000,System Record (Clean Data)
TXN-100016,REF-100016,500,System Record (Clean Data)
TXN-100017,REF-100017,100,System Record (Clean Data)
TXN-100018,REF-100018,5000,System Record (Clean Data)
TXN-100019,REF-100019,2500,System Record (Clean Data)
TXN-100020,REF-100020,1000,System Record (Clean Data)
TXN-100021,REF-100021,1000,System Record (Clean Data)
TXN-100022,REF-100022,100,System Record (Clean Data)
TXN-100023,REF-100023,100,System Record (Clean Data)
TXN-100024,REF-100024,200,System Record (Clean Data)
TXN-100025,REF-100025,2500,System Record (Clean Data)
TXN-100026,REF-100026,200,System Record (Clean Data)
TXN-100027,REF-100027,5000,System Record (Clean Data)
TXN-100028,REF-100028,10000,System Record (Clean Data)
TXN-100029,REF-100029,100,System Record (Clean Data)
TXN-100030,REF-100030,5000,System Record (Clean Data)
TXN-100031,REF-100031,200,System Record (Clean Data)
TXN-100032,REF-100032,1000,System Record (Clean Data)
TXN-100033,REF-100033,500,System Record (Clean Data)
TXN-100034,REF-100034,100,System Record (Clean Data)
TXN-100035,REF-100035,5000,System Record (Clean Data)
TXN-100036,REF-100036,1000,System Record (Clean Data)
TXN-100037,REF-100037,5000,System Record (Clean Data)
TXN-100038,REF-100038,1000,System Record (Clean Data)
TXN-100039,REF-100039,1000,System Record (Clean Data)
TXN-100040,REF-100040,2500,System Record (Clean Data)
TXN-100041,REF-100041,200,System Record (Clean Data)
TXN-100042,REF-100042,10000,System Record (Clean Data)
TXN-100043,REF-100043,500,System Record (Clean Data)
TXN-100044,REF-100044,100,System Record (Clean Data)
TXN-100045,REF-100045,1000,System Record (Clean Data)
TXN-100046,REF-100046,200,System Record (Clean Data)
TXN-100047,REF-100047,500,System Record (Clean Data)
TXN-100048,REF-100048,200,System Record (Clean Data)
TXN-100049,REF-100049,200,System Record (Clean Data)
TXN-100050,REF-100050,1000,System Record (Clean Data)
TXN-100051,REF-100051,10000,System Record (Clean Data)
TXN-100052,REF-100052,200,System Record (Clean Data)
TXN-100053,REF-100053,100,System Record (Clean Data)
TXN-100054,REF-100054,10000,System Record (Clean Data)
TXN-100055,REF-100055,2500,System Record (Clean Data)
TXN-100056,REF-100056,200,System Record (Clean Data)
TXN-100057,REF-100057,100,System Record (Clean Data)
TXN-100058,REF-100058,500,System Record (Clean Data)
TXN-100059,REF-100059,200,System Record (Clean Data)
TXN-100060,REF-100060,1000,System Record (Clean Data)
TXN-100061,REF-100061,10000,System Record (Clean Data)
TXN-100062,REF-100062,100,System Record (Clean Data)
TXN-100063,REF-100063,200,System Record (Clean Data)
TXN-100064,REF-100064,10000,System Record (Clean Data)
TXN-100065,REF-100065,5000,System Record (Clean Data)
TXN-100066,REF-100066,500,System Record (Clean Data)
TXN-100067,REF-100067,200,System Record (Clean Data)
TXN-100068,REF-100068,5000,System Record (Clean Data)
TXN-100069,REF-100069,2500,System Record (Clean Data)
TXN-100070,REF-100070,5000,System Record (Clean Data)
TXN-100071,REF-100071,5000,System Record (Clean Data)
TXN-100072,REF-100072,1000,System Record (Clean Data)
TXN-100073,REF-100073,10000,System Record (Clean Data)
TXN-100074,REF-100074,2500,System Record (Clean Data)
TXN-100075,REF-100075,100,System Record (Clean Data)
TXN-100076,REF-100076,100,System Record (Clean Data)
